state;action;action_parameters;result;next_state
"{""dry(rose)"": ""true"", ""grown(tulip)"": ""true"", ""has-fruit(apple-tree)"": ""true"", ""free-hands(g1)"": ""true"", ""dry(tulip)"": ""false"", ""dry(apple-tree)"": ""false"", ""grown(rose)"": ""false"", ""grown(apple-tree)"": ""false"", ""has-fruit(rose)"": ""false"", ""has-fruit(tulip)"": ""false"", ""watered(rose)"": ""false"", ""watered(tulip)"": ""false"", ""watered(apple-tree)"": ""false"", ""harvested(rose)"": ""false"", ""harvested(tulip)"": ""false"", ""harvested(apple-tree)"": ""false"", ""holding(g1, watering-can)"": ""false"", ""holding(g1, scissors)"": ""false"", ""holding(g1, basket)"": ""false""}";take-tool;"[""g1"", ""basket""]";True;"{""holding(g1, basket)"": ""true"", ""free-hands(g1)"": ""false"", ""dry(rose)"": ""true"", ""grown(tulip)"": ""true"", ""has-fruit(apple-tree)"": ""true"", ""dry(tulip)"": ""false"", ""dry(apple-tree)"": ""false"", ""grown(rose)"": ""false"", ""grown(apple-tree)"": ""false"", ""has-fruit(rose)"": ""false"", ""has-fruit(tulip)"": ""false"", ""watered(rose)"": ""false"", ""watered(tulip)"": ""false"", ""watered(apple-tree)"": ""false"", ""harvested(rose)"": ""false"", ""harvested(tulip)"": ""false"", ""harvested(apple-tree)"": ""false"", ""holding(g1, watering-can)"": ""false"", ""holding(g1, scissors)"": ""false""}"
"{""dry(rose)"": ""true"", ""grown(tulip)"": ""true"", ""has-fruit(apple-tree)"": ""true"", ""free-hands(g1)"": ""true"", ""dry(tulip)"": ""false"", ""dry(apple-tree)"": ""false"", ""grown(rose)"": ""false"", ""grown(apple-tree)"": ""false"", ""has-fruit(rose)"": ""false"", ""has-fruit(tulip)"": ""false"", ""watered(rose)"": ""false"", ""watered(tulip)"": ""false"", ""watered(apple-tree)"": ""false"", ""harvested(rose)"": ""false"", ""harvested(tulip)"": ""false"", ""harvested(apple-tree)"": ""false"", ""holding(g1, watering-can)"": ""false"", ""holding(g1, scissors)"": ""false"", ""holding(g1, basket)"": ""false""}";water-plant;"[""g1"", ""scissors"", ""apple-tree""]";False;None
"{""dry(rose)"": ""true"", ""grown(tulip)"": ""true"", ""has-fruit(apple-tree)"": ""true"", ""free-hands(g1)"": ""true"", ""dry(tulip)"": ""false"", ""dry(apple-tree)"": ""false"", ""grown(rose)"": ""false"", ""grown(apple-tree)"": ""false"", ""has-fruit(rose)"": ""false"", ""has-fruit(tulip)"": ""false"", ""watered(rose)"": ""false"", ""watered(tulip)"": ""false"", ""watered(apple-tree)"": ""false"", ""harvested(rose)"": ""false"", ""harvested(tulip)"": ""false"", ""harvested(apple-tree)"": ""false"", ""holding(g1, watering-can)"": ""false"", ""holding(g1, scissors)"": ""false"", ""holding(g1, basket)"": ""false""}";drop-tool;"[""g1"", ""scissors""]";False;None
"{""holding(g1, basket)"": ""true"", ""free-hands(g1)"": ""false"", ""dry(rose)"": ""true"", ""grown(tulip)"": ""true"", ""has-fruit(apple-tree)"": ""true"", ""dry(tulip)"": ""false"", ""dry(apple-tree)"": ""false"", ""grown(rose)"": ""false"", ""grown(apple-tree)"": ""false"", ""has-fruit(rose)"": ""false"", ""has-fruit(tulip)"": ""false"", ""watered(rose)"": ""false"", ""watered(tulip)"": ""false"", ""watered(apple-tree)"": ""false"", ""harvested(rose)"": ""false"", ""harvested(tulip)"": ""false"", ""harvested(apple-tree)"": ""false"", ""holding(g1, watering-can)"": ""false"", ""holding(g1, scissors)"": ""false""}";water-plant;"[""g1"", ""basket"", ""rose""]";True;"{""dry(rose)"": ""false"", ""watered(rose)"": ""true"", ""grown(rose)"": ""true"", ""holding(g1, basket)"": ""true"", ""free-hands(g1)"": ""false"", ""grown(tulip)"": ""true"", ""has-fruit(apple-tree)"": ""true"", ""dry(tulip)"": ""false"", ""dry(apple-tree)"": ""false"", ""grown(apple-tree)"": ""false"", ""has-fruit(rose)"": ""false"", ""has-fruit(tulip)"": ""false"", ""watered(tulip)"": ""false"", ""watered(apple-tree)"": ""false"", ""harvested(rose)"": ""false"", ""harvested(tulip)"": ""false"", ""harvested(apple-tree)"": ""false"", ""holding(g1, watering-can)"": ""false"", ""holding(g1, scissors)"": ""false""}"
"{""holding(g1, basket)"": ""true"", ""free-hands(g1)"": ""false"", ""dry(rose)"": ""true"", ""grown(tulip)"": ""true"", ""has-fruit(apple-tree)"": ""true"", ""dry(tulip)"": ""false"", ""dry(apple-tree)"": ""false"", ""grown(rose)"": ""false"", ""grown(apple-tree)"": ""false"", ""has-fruit(rose)"": ""false"", ""has-fruit(tulip)"": ""false"", ""watered(rose)"": ""false"", ""watered(tulip)"": ""false"", ""watered(apple-tree)"": ""false"", ""harvested(rose)"": ""false"", ""harvested(tulip)"": ""false"", ""harvested(apple-tree)"": ""false"", ""holding(g1, watering-can)"": ""false"", ""holding(g1, scissors)"": ""false""}";prune-plant;"[""g1"", ""basket"", ""apple-tree""]";False;None
"{""holding(g1, basket)"": ""true"", ""free-hands(g1)"": ""false"", ""dry(rose)"": ""true"", ""grown(tulip)"": ""true"", ""has-fruit(apple-tree)"": ""true"", ""dry(tulip)"": ""false"", ""dry(apple-tree)"": ""false"", ""grown(rose)"": ""false"", ""grown(apple-tree)"": ""false"", ""has-fruit(rose)"": ""false"", ""has-fruit(tulip)"": ""false"", ""watered(rose)"": ""false"", ""watered(tulip)"": ""false"", ""watered(apple-tree)"": ""false"", ""harvested(rose)"": ""false"", ""harvested(tulip)"": ""false"", ""harvested(apple-tree)"": ""false"", ""holding(g1, watering-can)"": ""false"", ""holding(g1, scissors)"": ""false""}";harvest;"[""g1"", ""watering-can"", ""tulip""]";False;None
"{""dry(rose)"": ""false"", ""watered(rose)"": ""true"", ""grown(rose)"": ""true"", ""holding(g1, basket)"": ""true"", ""free-hands(g1)"": ""false"", ""grown(tulip)"": ""true"", ""has-fruit(apple-tree)"": ""true"", ""dry(tulip)"": ""false"", ""dry(apple-tree)"": ""false"", ""grown(apple-tree)"": ""false"", ""has-fruit(rose)"": ""false"", ""has-fruit(tulip)"": ""false"", ""watered(tulip)"": ""false"", ""watered(apple-tree)"": ""false"", ""harvested(rose)"": ""false"", ""harvested(tulip)"": ""false"", ""harvested(apple-tree)"": ""false"", ""holding(g1, watering-can)"": ""false"", ""holding(g1, scissors)"": ""false""}";harvest;"[""g1"", ""basket"", ""apple-tree""]";True;"{""harvested(apple-tree)"": ""true"", ""has-fruit(apple-tree)"": ""false"", ""dry(rose)"": ""false"", ""watered(rose)"": ""true"", ""grown(rose)"": ""true"", ""holding(g1, basket)"": ""true"", ""free-hands(g1)"": ""false"", ""grown(tulip)"": ""true"", ""dry(tulip)"": ""false"", ""dry(apple-tree)"": ""false"", ""grown(apple-tree)"": ""false"", ""has-fruit(rose)"": ""false"", ""has-fruit(tulip)"": ""false"", ""watered(tulip)"": ""false"", ""watered(apple-tree)"": ""false"", ""harvested(rose)"": ""false"", ""harvested(tulip)"": ""false"", ""holding(g1, watering-can)"": ""false"", ""holding(g1, scissors)"": ""false""}"
"{""dry(rose)"": ""false"", ""watered(rose)"": ""true"", ""grown(rose)"": ""true"", ""holding(g1, basket)"": ""true"", ""free-hands(g1)"": ""false"", ""grown(tulip)"": ""true"", ""has-fruit(apple-tree)"": ""true"", ""dry(tulip)"": ""false"", ""dry(apple-tree)"": ""false"", ""grown(apple-tree)"": ""false"", ""has-fruit(rose)"": ""false"", ""has-fruit(tulip)"": ""false"", ""watered(tulip)"": ""false"", ""watered(apple-tree)"": ""false"", ""harvested(rose)"": ""false"", ""harvested(tulip)"": ""false"", ""harvested(apple-tree)"": ""false"", ""holding(g1, watering-can)"": ""false"", ""holding(g1, scissors)"": ""false""}";harvest;"[""g1"", ""watering-can"", ""rose""]";False;None
"{""dry(rose)"": ""false"", ""watered(rose)"": ""true"", ""grown(rose)"": ""true"", ""holding(g1, basket)"": ""true"", ""free-hands(g1)"": ""false"", ""grown(tulip)"": ""true"", ""has-fruit(apple-tree)"": ""true"", ""dry(tulip)"": ""false"", ""dry(apple-tree)"": ""false"", ""grown(apple-tree)"": ""false"", ""has-fruit(rose)"": ""false"", ""has-fruit(tulip)"": ""false"", ""watered(tulip)"": ""false"", ""watered(apple-tree)"": ""false"", ""harvested(rose)"": ""false"", ""harvested(tulip)"": ""false"", ""harvested(apple-tree)"": ""false"", ""holding(g1, watering-can)"": ""false"", ""holding(g1, scissors)"": ""false""}";take-tool;"[""g1"", ""scissors""]";False;None
"{""harvested(apple-tree)"": ""true"", ""has-fruit(apple-tree)"": ""false"", ""dry(rose)"": ""false"", ""watered(rose)"": ""true"", ""grown(rose)"": ""true"", ""holding(g1, basket)"": ""true"", ""free-hands(g1)"": ""false"", ""grown(tulip)"": ""true"", ""dry(tulip)"": ""false"", ""dry(apple-tree)"": ""false"", ""grown(apple-tree)"": ""false"", ""has-fruit(rose)"": ""false"", ""has-fruit(tulip)"": ""false"", ""watered(tulip)"": ""false"", ""watered(apple-tree)"": ""false"", ""harvested(rose)"": ""false"", ""harvested(tulip)"": ""false"", ""holding(g1, watering-can)"": ""false"", ""holding(g1, scissors)"": ""false""}";prune-plant;"[""g1"", ""basket"", ""tulip""]";True;"{""has-fruit(tulip)"": ""true"", ""harvested(apple-tree)"": ""true"", ""has-fruit(apple-tree)"": ""false"", ""dry(rose)"": ""false"", ""watered(rose)"": ""true"", ""grown(rose)"": ""true"", ""holding(g1, basket)"": ""true"", ""free-hands(g1)"": ""false"", ""grown(tulip)"": ""true"", ""dry(tulip)"": ""false"", ""dry(apple-tree)"": ""false"", ""grown(apple-tree)"": ""false"", ""has-fruit(rose)"": ""false"", ""watered(tulip)"": ""false"", ""watered(apple-tree)"": ""false"", ""harvested(rose)"": ""false"", ""harvested(tulip)"": ""false"", ""holding(g1, watering-can)"": ""false"", ""holding(g1, scissors)"": ""false""}"
